상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
장터축산양념닭갈비유통,2021-09-23,기타시설,37.880463,127.745893,강원,춘천시,후평동,,216,49.82,50.18,17.35,21.15,19.6,20.5,21.4,2021-12-21
상호네 닭갈비,2021-10-07,음식점,37.874885,127.71749,강원,춘천시,근화동,,205,52.26,47.74,11.34,19.45,28.5,11.94,28.77,2021-12-21
춘천서면닭갈비,2021-10-21,음식점,37.896522,127.692746,강원,춘천시,서면,금산리,196,53.02,46.98,11.67,15.88,19.81,24.5,28.14,2021-12-21
춘천칠전닭갈비,2021-11-17,음식점,37.837147,127.713817,강원,춘천시,칠전동,,190,36.96,63.04,12.09,19.88,22.76,24.33,20.94,2021-12-21
엄마닭갈비,2021-08-10,음식점,37.902144,127.752627,강원,춘천시,동면,장학리,160,53.99,46.01,17.98,16.58,24.3,19.86,21.28,2021-12-21
대웅닭갈비막국수,2021-07-26,음식점,37.91678,127.782718,강원,춘천시,동면,지내리,159,55.63,44.37,16.86,15.66,22.85,24.42,20.21,2021-12-21
박사마을닭갈비막국수,2021-08-09,음식점,37.907835,127.703404,강원,춘천시,서면,금산리,159,32.93,67.07,11.12,15.28,19.36,23.83,30.41,2021-12-21
봉봉닭갈비막국수,2021-08-09,음식점,37.852118,127.752455,강원,춘천시,동내면,거두리,159,52.42,47.58,13.81,19.13,21.44,22.45,23.17,2021-12-21
두하닭갈비막국수,2021-09-06,음식점,37.872775,127.701564,강원,춘천시,삼천동,,158,53.07,46.93,13.09,20.83,23.62,20.57,21.89,2021-12-21
춘천바른닭갈비,2021-09-06,기타시설,37.852832,127.75408,강원,춘천시,동내면,거두리,158,53.86,46.14,12.59,18.23,24.75,24.35,20.08,2021-12-21
정원닭갈비,2021-07-27,음식점,37.911631,127.738816,강원,춘천시,우두동,,157,51.85,48.15,17.65,21.36,19.2,20.33,21.46,2021-12-21
